element	sp_num	obs_wl_vac(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Ar	17	"0.3137"	"0"	""		"0.0"	"(31966417)"	"1s2"	"1S"	"0"	"1s.5p"	"1P*"	"1"		""	"L1845"	
Ar	17	"0.3198"	"13"	""		"0.0"	"(31252834)"	"1s2"	"1S"	"0"	"1s.4p"	"1P*"	"1"		""	"L1845"	
Ar	17	"0.3362"	"19"	""		"0.0"	"(29712252)"	"1s2"	"1S"	"0"	"1s.3p"	"1P*"	"1"		""	"L1845"	
Ar	18	"0.3731105"	"13"	"6.5502e+13"	AA	"0.0"	"(26801748.387)"	"1s"	"2S"	"1/2"	"2p"	"2P*"	"3/2"		"T7771"	"L7290"	
Ar	18	"0.3736522"	"7"	"6.5898e+13"	AA	"0.0"	"(26762905.40)"	"1s"	"2S"	"1/2"	"2p"	"2P*"	"1/2"		"T7771"	"L7290"	
Ar	17	"0.3949065"	"100"	""		"0.0"	"(25322439.9)"	"1s2"	"1S"	"0"	"1s.2p"	"1P*"	"1"		""	"L12339"	
Ar	16	"0.396184"	""	""		"257023"	"(25498300)"	"1s2.2p"	"2P*"	"1/2"	"1s.2p2"	"2S"	"1/2"		""	"L22456,L11906,L4681c164,L9846c164"	
Ar	17	"0.3963"	"55"	""		"0.0"	"(25193006.1)"	"1s2"	"1S"	"0"	"1s.2p"	"3P*"	"1"		""	"L1845"	
Ar	16	"0.396580"	""	""		"282598.2"	"(25498300)"	"1s2.2p"	"2P*"	"3/2"	"1s.2p2"	"2S"	"1/2"		""	"L22456,L11906,L11939c164,L4681c164,L7279c164,L6542c164,L9846c164"	
Ar	16	"0.396829"	"g"	""		"0.0"	"(25203250)"	"1s2.2s"	"2S"	"1/2"	"1s.(2S).2s.2p.(1P*)"	"2P*"	"3/2"		""	"L22456,L4681c164,L11906,L11185,L9846c164"	
Ar	16	"0.396873"	"g"	""		"0.0"	"(25197840)"	"1s2.2s"	"2S"	"1/2"	"1s.(2S).2s.2p.(1P*)"	"2P*"	"1/2"		""	"L22456,L11906,L11185,L9846c164"	
Ar	16	"0.3981321"	"g"	""		"0.0"	"25117278"	"1s2.2s"	"2S"	"1/2"	"1s.(2S).2s.2p.(3P*)"	"2P*"	"3/2"		""	"L22456,L21430,L18507,L11939c164,L11906,L9865"	
Ar	16	"0.3983465"	"g"	""		"0.0"	"25103768"	"1s2.2s"	"2S"	"1/2"	"1s.(2S).2s.2p.(3P*)"	"2P*"	"1/2"		""	"L22456,L21430,L18507,L11939c164,L11906,L9865"	
Ar	16	"0.398570"	""	""		"282598.2"	"(25372157)"	"1s2.2p"	"2P*"	"3/2"	"1s.2p2"	"2P"	"3/2"		""	"L22456,L11906,L7279c164,L11185,L6542c164,L4681c164,L9846c164"	
Ar	16	"0.398584"	""	""		"257023"	"(25346484)"	"1s2.2p"	"2P*"	"1/2"	"1s.2p2"	"2P"	"1/2"		""	"L22456,L7279c164,L11185,L6542c164,L4681c164,L9846c164"	
Ar	16	"0.398995"	""	""		"257023"	"(25319610)"	"1s2.2p"	"2P*"	"1/2"	"1s.2p2"	"2D"	"3/2"		""	"L22456,L11906,L11939c164,L7279c164,L4681c164,L6542c164,L9846c164"	
Ar	16	"0.399394"	""	""		"282598.2"	"(25320390)"	"1s2.2p"	"2P*"	"3/2"	"1s.2p2"	"2D"	"5/2"		""	"L22456,L11906,L11939c164,L7279c164,L11185,L6542c164,L9846c164"	
Ar	15	"0.40000"	"*"	""		"228684"	"25229900"	"1s2.2s.2p"	"3P*"	"0"	"1s.2s.(3S).2p2.(1S)"	"3S"	"1"		""	"L11185"	
Ar	15	"0.40000"	"*"	""		"235860.182"	"25229900"	"1s2.2s.2p"	"3P*"	"1"	"1s.2s.(3S).2p2.(1S)"	"3S"	"1"		""	"L11185"	
Ar	15	"0.40044"	""	""		"252679.553"	"25229900"	"1s2.2s.2p"	"3P*"	"2"	"1s.2s.(3S).2p2.(1S)"	"3S"	"1"		""	"L11185"	
Ar	16	"0.401215"	"g"	""		"0.0"	"(24923670)"	"1s2.2s"	"2S"	"1/2"	"1s.(2S).2s.2p.(3P*)"	"4P*"	"5/2"		""	""	
Ar	15	"0.40137"	"*"	""		"628308"	"25543000"	"1s2.2p2"	"3P"	"2"	"1s.2p3"	"3P*"	"1"		""	"L11185"	
Ar	15	"0.40137"	"*"	""		"235860.182"	"25150500"	"1s2.2s.2p"	"3P*"	"1"	"1s.2s.(3S).2p2.(1D)"	"3D"	"2"		""	"L11185"	
Ar	16	"0.401486"	""	""		"0.0"	"(24906580)"	"1s2.2s"	"2S"	"1/2"	"1s.(2S).2s.2p.(3P*)"	"4P*"	"3/2"		""	"L22456,L9865,L4681c164,L11939c164"	
Ar	16	"0.401572"	"g"	""		"0.0"	"(24899710)"	"1s2.2s"	"2S"	"1/2"	"1s.(2S).2s.2p.(3P*)"	"4P*"	"1/2"		""	"L22456,L9865,L11939c164"	
Ar	16	"0.40167"	"g"	""		"282598.2"	"(25179295)"	"1s2.2p"	"2P*"	"3/2"	"1s.2p2"	"4P"	"1/2"		""	"L22456,L4681c164"	
Ar	15	"0.40201"	""	""		"252679.553"	"25127700"	"1s2.2s.2p"	"3P*"	"2"	"1s.2s.(3S).2p2.(1D)"	"3D"	"3"		""	"L11185"	
Ar	15	"0.40272"	"*"	""		"452182"	"25283300"	"1s2.2s.2p"	"1P*"	"1"	"1s.2s.(1S).2p2.(1D)"	"1D"	"2"		""	"L11185"	
Ar	15	"0.40272"	"*"	""		"604917"	"25436100"	"1s2.2p2"	"3P"	"0"	"1s.2p3"	"3D*"	"1"		""	"L11185"	
Ar	15	"0.40317"	""	""		"628308"	"25431700"	"1s2.2p2"	"3P"	"2"	"1s.2p3"	"3D*"	"3"		""	"L11185"	
Ar	14	"0.40389"	""	""		"411205."	"25170500"	"2s.2p2"	"2D"	"5/2"	"1s.2s.(3S).2p3.(2D*)"	"2D*"	"5/2"		""	"L11185"	
Ar	14	"0.40439"	"*"	""		"410254"	"25141000"	"2s.2p2"	"2D"	"3/2"	"1s.2s.(3S).2p3.(2P*)"	"2P*"	"3/2"		""	"L11185"	
Ar	14	"0.40439"	"*"	""		"411205."	"25141000"	"2s.2p2"	"2D"	"5/2"	"1s.2s.(3S).2p3.(2P*)"	"2P*"	"3/2"		""	"L11185"	
Ar	14	"0.40456"	""	""		"22656.239"	"24740900"	"2s2.2p"	"2P*"	"3/2"	"1s.2s2.2p2"	"2P"	"3/2"		""	"L11185"	
Ar	14	"0.40483"	""	""		"0.000"	"24701700"	"2s2.2p"	"2P*"	"1/2"	"1s.2s2.2p2"	"2D"	"3/2"		""	"L11185"	
Ar	14	"0.40518"	"*"	""		"812956"	"25501600"	"2p3"	"2D*"	"5/2"	"1s.2p4"	"2P"	"3/2"		""	"L11185"	
Ar	14	"0.40518"	"*"	""		"22656.239"	"24703000"	"2s2.2p"	"2P*"	"3/2"	"1s.2s2.2p2"	"2D"	"5/2"		""	"L11185"	
Ar	14	"0.40575"	""	""		"238954+x"	"24884700"	"2s.2p2"	"4P"	"3/2"	"1s.2s.(3S).2p3.(2D*)"	"4D*"	"5/2"		""	"L11185"	
Ar	14	"0.40601"	"*"	""		"250423+x"	"24880400"	"2s.2p2"	"4P"	"5/2"	"1s.2s.(3S).2p3.(2D*)"	"4D*"	"7/2"		""	"L11185"	
Ar	14	"0.40601"	"*"	""		"514401."	"25141000"	"2s.2p2"	"2S"	"1/2"	"1s.2s.(3S).2p3.(2P*)"	"2P*"	"3/2"		""	"L11185"	
Ar	14	"0.40624"	""	""		"554678."	"25170500"	"2s.2p2"	"2P"	"3/2"	"1s.2s.(3S).2p3.(2D*)"	"2D*"	"5/2"		""	"L11185"	
Ar	14	"0.40659"	"*"	""		"908793"	"25501600"	"2p3"	"2P*"	"1/2"	"1s.2p4"	"2P"	"3/2"		""	"L11185"	
Ar	14	"0.40659"	"*"	""		"913056"	"25501600"	"2p3"	"2P*"	"3/2"	"1s.2p4"	"2P"	"3/2"		""	"L11185"	
Ar	13	"0.40741"	""	""		"85011.3"	"24630600"	"2s2.2p2"	"1D"	"2"	"1s.2s2.2p3"	"1P*"	"1"		""	"L11185"	
Ar	13	"0.40806"	""	""		"85011.3"	"24591200"	"2s2.2p2"	"1D"	"2"	"1s.2s2.2p3"	"1D*"	"2"		""	"L11185"	
Ar	13	"0.40830"	"bl*"	""		"497055"	"24989300"	"2s.2p3"	"3P*"	"2"	"1s.2s.(3S).2p4.(3P)"	"3P"	"2"		""	"L9846"	
Ar	13	"0.40830"	"bl*"	""		"422699"	"24914500"	"2s.2p3"	"3D*"	"2"	"1s.2s.(3S).2p4.(3P)"	"3P"	"1"		""	"L9846"	
Ar	13	"0.40847"	"*"	""		"422699"	"24908000"	"2s.2p3"	"3D*"	"2"	"1s.2s.(3S).2p4.(1D)"	"3D"	"2"		""	"L11185"	
Ar	13	"0.40847"	"*"	""		"423969"	"24908000"	"2s.2p3"	"3D*"	"3"	"1s.2s.(3S).2p4.(1D)"	"3D"	"2"		""	"L11185"	
Ar	13	"0.40868"	"bl*"	""		"1025770"	"25494800"	"2p4"	"1D"	"2"	"1s.2p5"	"1P*"	"1"		""	"L9846"	
Ar	13	"0.40868"	"bl*"	""		"162136."	"24630600"	"2s2.2p2"	"1S"	"0"	"1s.2s2.2p3"	"1P*"	"1"		""	"L9846"	
Ar	13	"0.40880"	""	""		"21841."	"24481200"	"2s2.2p2"	"3P"	"2"	"1s.2s2.2p3"	"3D*"	"3"		""	"L11185"	
Ar	13	"0.40903"	""	""		"225918"	"24674000"	"2s.2p3"	"5S*"	"2"	"1s.2s.(3S).2p4.(3P)"	"5P"	"2"		""	"L11185"	
Ar	13	"0.40953"	"*"	""		"495432"	"24914500"	"2s.2p3"	"3P*"	"0"	"1s.2s.(3S).2p4.(3P)"	"3P"	"1"		""	"L11185"	
Ar	13	"0.40953"	"*"	""		"625844"	"25043500"	"2s.2p3"	"1D*"	"2"	"1s.2s.(1S).2p4.(1D)"	"1D"	"2"		""	"L11185"	
Ar	13	"0.40953"	"*"	""		"497055"	"24914500"	"2s.2p3"	"3P*"	"2"	"1s.2s.(3S).2p4.(3P)"	"3P"	"1"		""	"L11185"	
Ar	13	"0.40953"	"*"	""		"628627"	"25043500"	"2s.2p3"	"3S*"	"1"	"1s.2s.(1S).2p4.(1D)"	"1D"	"2"		""	"L11185"	
Ar	13	"0.40953"	"*"	""		"495799"	"24908000"	"2s.2p3"	"3P*"	"1"	"1s.2s.(3S).2p4.(1D)"	"3D"	"2"		""	"L11185"	
Ar	13	"0.40994"	""	""		"85011.3"	"24481200"	"2s2.2p2"	"1D"	"2"	"1s.2s2.2p3"	"3D*"	"3"		""	"L11185"	
Ar	12	"0.41006"	""	""		"613833"	"24975300"	"2s.(2S).2p4.(1D)"	"2D"	"3/2"	"1s.2s.(3S).2p5"	"2P*"	"1/2"		""	"L9846"	
Ar	13	"0.41049"	""	""		"628627"	"24989300"	"2s.2p3"	"3S*"	"1"	"1s.2s.(3S).2p4.(3P)"	"3P"	"2"		""	"L9846"	
Ar	13	"0.41093"	"*"	""		"698669"	"25043500"	"2s.2p3"	"1P*"	"1"	"1s.2s.(1S).2p4.(1D)"	"1D"	"2"		""	"L9846"	
Ar	13	"0.41093"	"*"	""		"1159700"	"25494800"	"2p4"	"1S"	"0"	"1s.2p5"	"1P*"	"1"		""	"L9846"	
Ar	12	"0.41096"	"*"	""		"94824.0"	"24426200"	"2s2.2p3"	"2D*"	"3/2"	"1s.(2S).2s2.2p4.(3P)"	"2P"	"1/2"		""	"L11185"	
Ar	12	"0.41096"	"*"	""		"98155.7"	"24427300"	"2s2.2p3"	"2D*"	"5/2"	"1s.(2S).2s2.2p4.(3P)"	"2P"	"3/2"		""	"L11185"	
Ar	12	"0.41154"	""	""		"94824.0"	"24393800"	"2s2.2p3"	"2D*"	"3/2"	"1s.(2S).2s2.2p4.(1D)"	"2D"	"3/2"		""	"L11185"	
Ar	12	"0.41197"	"*"	""		"149186."	"24427300"	"2s2.2p3"	"2P*"	"1/2"	"1s.(2S).2s2.2p4.(3P)"	"2P"	"3/2"		""	"L11185"	
Ar	12	"0.41197"	"*"	""		"149186."	"24426200"	"2s2.2p3"	"2P*"	"1/2"	"1s.(2S).2s2.2p4.(3P)"	"2P"	"1/2"		""	"L11185"	
