element	sp_num	obs_wl_vac(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Kr	35	"0.0945400"	""	""		"0"	"105775374"	"1s2"	"1S"	"0"	"1s.2p"	"1P*"	"1"		""	"L21941"	
Kr	34	"0.0947603"	"g"	""		"0"	"105536860"	"1s2.2s"	"2S"	"1/2"	"1s.(2S).2s.2p.(1P*)"	"2P*"	"3/2"		""	"L22456,L7817c164"	
Kr	34	"0.0948113"	"*"	""		"[1098402]"	"(106567600)"	"1s2.2p"	"2P*"	"3/2"	"1s.2p2"	"2S"	"1/2"		""	"L22456,L7817c164"	
Kr	34	"0.0948113"	"g*"	""		"0"	"105468850"	"1s2.2s"	"2S"	"1/2"	"1s.(2S).2s.2p.(1P*)"	"2P*"	"1/2"		""	"L22456,L7817c164"	
Kr	34	"0.094966"	"g*"	""		"0"	"105299710"	"1s2.2s"	"2S"	"1/2"	"1s.(2S).2s.2p.(3P*)"	"2P*"	"3/2"		""	"L22456,L7817c164"	
Kr	34	"0.094966"	"*"	""		"[1098402]"	"(106397120)"	"1s2.2p"	"2P*"	"3/2"	"1s.2p2"	"2P"	"3/2"		""	"L22456,L7817c164"	
Kr	34	"0.0950023"	""	""		"[574615]"	"(105833960)"	"1s2.2p"	"2P*"	"1/2"	"1s.2p2"	"2D"	"3/2"		""	"L22456,L7817c164"	
Kr	34	"0.0951433"	""	""		"[1098402]"	"(106200910)"	"1s2.2p"	"2P*"	"3/2"	"1s.2p2"	"2D"	"5/2"		""	"L22456,L7817c164"	
Kr	35	"0.0951810"	""	""		"0"	"105062752"	"1s2"	"1S"	"0"	"1s.2p"	"3P*"	"1"		""	"L21941"	
Kr	34	"0.095309"	"g"	""		"0"	"104916950"	"1s2.2s"	"2S"	"1/2"	"1s.(2S).2s.2p.(3P*)"	"2P*"	"1/2"		""	"L22456,L7817c164,L21948c164"	
Kr	34	"0.095473"	""	""		"[1098402]"	"(105833960)"	"1s2.2p"	"2P*"	"3/2"	"1s.2p2"	"2D"	"3/2"		""	"L22456,L7817c164"	
Kr	34	"0.0956413"	""	""		"[1098402]"	"(105653740)"	"1s2.2p"	"2P*"	"3/2"	"1s.2p2"	"4P"	"5/2"		""	"L22456,L7817c164"	
Kr	34	"0.0964170"	""	""		"[574615]"	"(104294100)"	"1s2.2p"	"2P*"	"1/2"	"1s.2s2"	"2S"	"1/2"		""	"L22456,L7817c164,L21948c164"	
Kr	34	"0.096904"	""	""		"[1098402]"	"(104294100)"	"1s2.2p"	"2P*"	"3/2"	"1s.2s2"	"2S"	"1/2"		""	"L22456,L7817c164"	
Kr	27	"0.43392"	""	""		"0"	"23045700"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<1/2>).9d"	"(1/2,3/2)*"	"1"		""	"L9749"	
Kr	28	"0.43593"	""	""		"0"	"22939500"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P<2>).7d"	"(2,5/2)"	"5/2"		""	"L9749"	
Kr	27	"0.43872"	""	""		"0"	"22793600"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<1/2>).8d"	"(1/2,3/2)*"	"1"		""	"L9749"	
Kr	27	"0.44235"	""	""		"0"	"22606500"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<3/2>).9d"	"(3/2,5/2)*"	"1"		""	"L9749"	
