element	sp_num	obs_wl_vac(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Ne	8	"1.160"	""	""		"[1135327.7]"	"9760000?"	"1s2.3p"	"2P*"	"3/2"	"1s.3p2"	"2P"	"3/2"		""	"L9090u58,L2604"	
Ne	8	"1.1905"	"900bl*"	""		"0.0"	"8401000?"	"1s2.2s"	"2S"	"1/2"	"1s.2s.(3S).3p"	"2P*"	""		""	"L9090u58,L1845"	
Ne	8	"1.1905"	"900bl*"	""		"128149.4"	"8528000?"	"1s2.2p"	"2P*"	"1/2"	"1s.2p.(3P*).3p"	"2S"	"1/2"		""	"L9090u58,L1845"	
Ne	8	"1.1905"	"900bl*"	""		"129797.8"	"8528000?"	"1s2.2p"	"2P*"	"3/2"	"1s.2p.(3P*).3p"	"2S"	"1/2"		""	"L9090u58,L1845"	
Ne	8	"1.1905"	"900bl*"	""		"0.0"	"8395800"	"1s2.2s"	"2S"	"1/2"	"1s.2s.(3S).3p"	"4P*"	""		""	"L9090u58,L1845"	
Ne	8	"1.1930"	"1500bl*"	""		"128149.4"	"8508000"	"1s2.2p"	"2P*"	"1/2"	"1s.2p.(3P*).3p"	"2D"	""		""	"L9090u58,L9276"	
Ne	8	"1.1930"	"1500bl*"	""		"129797.8"	"8508000"	"1s2.2p"	"2P*"	"3/2"	"1s.2p.(3P*).3p"	"2D"	""		""	"L9090u58,L9276"	
Ne	8	"1.246"	"600"	""		"(7192195)"	"15220000?"	"1s.2s2"	"2S"	"1/2"	"2s2.2p"	"2P*"	"3/2"		""	"L9090u58,L2916"	
Ne	8	"1.3469"	"1200*"	""		"[1147347]"	"8571000"	"1s2.3d"	"2D"	"3/2"	"1s.2p.(1P*).3d"	"2F*"	""		""	"L9090u58,L23148"	
Ne	8	"1.3469"	"1200*"	""		"[1147494]"	"8571000"	"1s2.3d"	"2D"	"5/2"	"1s.2p.(1P*).3d"	"2F*"	""		""	"L9090u58,L23148"	
Ne	8	"1.3488"	"900*"	""		"[1134839.5]"	"8550000"	"1s2.3p"	"2P*"	"1/2"	"1s.2p.(1P*).3p"	"2D"	""		""	"L9090u58,L23148"	
Ne	8	"1.3488"	"900*"	""		"[1135327.7]"	"8550000"	"1s2.3p"	"2P*"	"3/2"	"1s.2p.(1P*).3p"	"2D"	""		""	"L9090u58,L23148"	
