element	sp_num	obs_wl_vac(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Xe	54	"0.039639"	""	"5.1078e+15"	AA	"0"	"252322059"	"1s"	"2S"	"1/2"	"2p"	"2P*"	"3/2"		"T7771"	"L7264"	
Xe	54	"0.040192"	""	"5.4068e+15"	AA	"0"	"248874716"	"1s"	"2S"	"1/2"	"2p"	"2P*"	"1/2"		"T7771"	"L7264"	
Xe	53	"0.0404774"	""	""		"0"	"247048069.9"	"1s2"	"1S"	"0"	"1s.2p"	"1P*"	"1"		""	"L7282"	
Xe	52	"0.040615"	"g"	""		"0"	"246185200"	"1s2.2s"	"2S"	"1/2"	"1s.2s.(1).2p+"	"(1,3/2)*"	"3/2"		""	"L22456,L15515c164"	
Xe	53	"0.0410457"	""	""		"0"	"243629987.5"	"1s2"	"1S"	"0"	"1s.2p"	"3P*"	"1"		""	"L7283"	
Xe	52	"0.041061"	"g"	""		"0"	"243488900"	"1s2.2s"	"2S"	"1/2"	"1s.2s.(0).2p-"	"(0,1/2)*"	"1/2"		""	"L22456,L15492"	
Xe	52	"0.0414079"	""	""		"[966530]"	"(242429000)"	"1s2.2p"	"2P*"	"1/2"	"1s.2s2"	"(1/2,0)"	"1/2"		""	"L22456,L15515c164,L15492"	
Xe	45	"0.20957"	""	""		"0"	"47717000"	"2p6"	"1S"	"0"	"2p5.<3/2>4d<5/2>"	"(3/2,5/2)*"	"1"		""	"L10222"	
Xe	52	"0.218991"	""	""		"0"	"45664000"	"1s2.2s"	"2S"	"1/2"	"1s2.3p"	"2P*"	"3/2"		""	"L10567"	
Xe	52	"0.223287"	"bl"	""		"[966530]"	"45744000"	"1s2.2p"	"2P*"	"1/2"	"1s2.3d"	"2D"	"3/2"		""	"L10567"	
Xe	51	"0.22576"	""	""		"[3785850]"	"48080000"	"2s<1/2>.2p<3/2>"	"*"	"2"	"2p<3/2>.3p<1/2>"	""	"1"		""	"L10567"	
Xe	51	"0.22671"	""	""		"1027000"	"45137000"	"2s<1/2>.2p<1/2>"	"*"	"1"	"2s<1/2>.3d<3/2>"	""	"2"		""	"L10567"	
Xe	51	"0.22757"	""	""		"[5147080]"	"49090000"	"2p<1/2>.2p<3/2>"	""	"1"	"2p<3/2>.3d<3/2>"	"*"	"2"		""	"L10567"	
Xe	51	"0.22792"	""	""		"[5271330]"	"49147000"	"2p<1/2>.2p<3/2>"	""	"2"	"2p<3/2>.3d<3/2>"	"*"	"3"		""	"L10567"	
Xe	51	"0.22835"	""	""		"2433000"	"46226000"	"2p<1/2>.2p<1/2>"	""	"0"	"2p<1/2>.3d<3/2>"	"*"	"1"		""	"L10567"	
Xe	53	"0.22910"	""	""		"(246760228.3)"	"[290408700]"	"1s.2p"	"3P*"	"2"	"1s.3d"	"3D"	"3"		""	"L10567"	
Xe	52	"0.229732"	""	""		"[966530]"	"44497000"	"1s2.2p"	"2P*"	"1/2"	"1s2.3s"	"2S"	"1/2"		""	"L10567"	
Xe	51	"0.23544"	""	""		"[5271330]"	"47745000"	"2p<1/2>.2p<3/2>"	""	"2"	"2p<3/2>.3s<1/2>"	"*"	"1"		""	"L10567"	
Xe	52	"0.237864"	""	""		"[3970230]"	"46012000"	"1s2.2p"	"2P*"	"3/2"	"1s2.3d"	"2D"	"5/2"		""	"L10567"	
